Level,Date and Time,Source,Event ID,Task Category
Information,31-10-2023 20:20:06,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,31-10-2023 20:16:09,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,31-10-2023 20:15:09,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,31-10-2023 20:15:09,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,31-10-2023 20:14:59,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Information,31-10-2023 20:14:18,Microsoft-Windows-IsolatedUserMode,2,None,Secure Trustlet Id 0 and Pid 0 stopped with status STATUS_SUCCESS.
Information,31-10-2023 20:14:10,Microsoft-Windows-IsolatedUserMode,5,None,Secure Trustlet NULL Id 0 and Pid 0 started with status STATUS_SUCCESS.
Warning,31-10-2023 19:44:31,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user DESKTOP-SGF9A33\chana SID (S-1-5-21-3444099338-3253721846-659789935-1001) from address LocalHost (Using LRPC) running in the application container MicrosoftWindows.Client.WebExperience_423.23500.0.0_x64__cw5n1h2txyewy SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,31-10-2023 19:41:42,Netwtw08,6062,None,6062 - Lso was triggered
Warning,31-10-2023 19:41:42,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 19:41:41,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Warning,31-10-2023 19:41:40,hcmon,0,None,Detected unrecognized USB driver (\Driver\USBPcap).
Information,31-10-2023 19:41:39,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 23 to 25.

Reason PolicyChange 

BootId: 59"
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: Lid."
Information,31-10-2023 19:41:38,Microsoft-Windows-Power-Troubleshooter,1,None,"The system has returned from a low power state.

Sleep Time: ‎2023‎-‎10‎-‎31T12:03:23.906230600Z
Wake Time: ‎2023‎-‎10‎-‎31T14:11:38.200444500Z

Wake Source: Unknown"
Warning,31-10-2023 19:41:38,Microsoft-Windows-Time-Service,134,None,"NtpClient was unable to set a manual peer to use as a time source because of DNS resolution error on 'time.windows.com,0x9'. NtpClient will try again in 15 minutes and double the reattempt interval thereafter. The error was: No such host is known. (0x80072AF9)"
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Sleep, Hibernate, or Shutdown."
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 22 to 23.

Reason SxTransition 

BootId: 59"
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,31-10-2023 19:41:38,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,31-10-2023 19:41:37,Netwtw08,7025,None,7025 - Dump after return from D3 before cmd 
Information,31-10-2023 19:41:37,Microsoft-Windows-Kernel-Power,105,(100),Power source change.
Warning,31-10-2023 19:41:37,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Warning,31-10-2023 19:41:37,Win32k,701,None,Power Manager has not requested suppression of all input (INPUT_SUPPRESS_REQUEST=0)
Information,31-10-2023 19:41:37,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2023‎-‎10‎-‎31T14:11:37.500000000Z from ‎2023‎-‎10‎-‎31T12:03:30.418317200Z.
Time Delta: 7687081 ms

Change Reason: System time synchronized with the hardware clock.
Process: '' (PID 4).

RTC time: ‎2023‎-‎10‎-‎31T19:41:37.500000000Z
Current time zone bias: -330
RTC time is in UTC: false
System time was based on RTC time: false"
Information,31-10-2023 17:33:30,Microsoft-Windows-Kernel-Power,107,(102),The system has resumed from sleep.
Information,31-10-2023 17:33:30,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:27,Microsoft-Windows-Kernel-Power,42,(64),"The system is entering sleep.

Sleep Reason: Button or Lid"
Warning,31-10-2023 17:33:24,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Warning,31-10-2023 17:33:24,Win32k,700,None,Power Manager has requested suppression of all input (INPUT_SUPPRESS_REQUEST=1)
Information,31-10-2023 17:33:24,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 21 to 22.

Reason InputAccelerometer 

BootId: 59"
Information,31-10-2023 17:33:23,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:23,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
Information,31-10-2023 17:33:22,Netwtw08,7021,None,7021 - Connection telemetry fields and analysis usage
